Wavelength	Sensitivity
1.0558	5.19262e+14
1.0559	5.22427e+14
1.056	5.25601e+14
1.0561	5.28786e+14
1.0562	5.3198e+14
1.0563	5.35184e+14
1.0564	5.38398e+14
1.0565	5.41622e+14
1.0566	5.44646e+14
1.0567	5.47672e+14
1.0568	5.50698e+14
1.0569	5.53726e+14
1.057	5.56754e+14
1.0571	5.59784e+14
1.0572	5.62815e+14
1.0573	5.65846e+14
1.0574	5.68879e+14
1.0575	5.71913e+14
1.0576	5.74948e+14
1.0577	5.77984e+14
1.0578	5.81021e+14
1.0579	5.84059e+14
1.058	5.87099e+14
1.0581	5.90139e+14
1.0582	5.9318e+14
1.0583	5.96223e+14
1.0584	5.99266e+14
1.0585	6.02311e+14
1.0586	6.05357e+14
1.0587	6.08403e+14
1.0588	6.11451e+14
1.0589	6.145e+14
1.059	6.1755e+14
1.0591	6.20601e+14
1.0592	6.23653e+14
1.0593	6.26706e+14
1.0594	6.2976e+14
1.0595	6.32815e+14
1.0596	6.35872e+14
1.0597	6.38929e+14
1.0598	6.41987e+14
1.0599	6.45047e+14
1.06	6.48107e+14
1.0601	6.51169e+14
1.0602	6.54232e+14
1.0603	6.57295e+14
1.0604	6.6036e+14
1.0605	6.63426e+14
1.0606	6.66493e+14
1.0607	6.69561e+14
1.0608	6.7263e+14
1.0609	6.757e+14
1.061	6.78772e+14
1.0611	6.81844e+14
1.0612	6.8501e+14
1.0613	6.88276e+14
1.0614	6.91551e+14
1.0615	6.94835e+14
1.0616	6.98128e+14
1.0617	7.0143e+14
1.0618	7.04741e+14
1.0619	7.08061e+14
1.062	7.1139e+14
1.0621	7.14727e+14
1.0622	7.18074e+14
1.0623	7.2143e+14
1.0624	7.24795e+14
1.0625	7.28168e+14
1.0626	7.31551e+14
1.0627	7.34942e+14
1.0628	7.38343e+14
1.0629	7.41752e+14
1.063	7.45171e+14
1.0631	7.48598e+14
1.0632	7.52035e+14
1.0633	7.5548e+14
1.0634	7.58934e+14
1.0635	7.62398e+14
1.0636	7.6587e+14
1.0637	7.69351e+14
1.0638	7.72841e+14
1.0639	7.76341e+14
1.064	7.79849e+14
1.0641	7.83366e+14
1.0642	7.86892e+14
1.0643	7.90427e+14
1.0644	7.93971e+14
1.0645	7.97524e+14
1.0646	8.01086e+14
1.0647	8.04657e+14
